Status,PageTime_ms,TotalServerTime_ms,TotalBrowserTime_ms,Action_count,Api_count,Db_count,DbTime_ms,Xhr_count
Invalid,2290,2105,1708,13,50,333,469,10
Success,2330,2429,1704,13,52,289,513,10
Success,2297,1937,1686,13,52,293,508,10
Invalid,2117,2328,1732,13,50,285,593,10
Success,2473,2055,1760,13,59,321,473,10
Invalid,2215,2235,1620,13,52,289,598,10
Success,2346,2500,1695,13,52,287,478,10
Regression,2535,2155,1808,13,59,319,503,10
Regression,2568,2194,2023,13,59,319,535,10
Success,2497,2132,1769,13,59,317,477,10
Success,2136,2363,1486,13,50,293,546,10
Invalid,1640,1823,1335,12,57,319,379,10
Invalid,2456,2444,1816,13,50,335,480,10
Success,2458,2555,1766,13,50,293,467,10
Regression,2873,2196,1646,13,52,287,342,10
Invalid,2073,2080,1553,13,50,329,502,10
Success,2246,2469,1620,13,50,329,482,10
Invalid,2333,2921,1703,13,52,330,506,10
Invalid,3280,3318,1808,13,52,287,1304,10
Invalid,2102,2020,1586,13,52,287,511,10
Invalid,1695,1995,1373,12,57,313,366,10
Invalid,2369,2394,1684,13,54,296,539,10
Success,2144,2077,1684,13,50,339,493,10
Success,2246,1949,1688,13,50,289,518,10
Success,2354,2352,1877,13,50,291,569,10
Invalid,1790,2228,1407,13,52,287,483,10
Success,2267,2056,1751,13,50,335,467,10
Success,2252,2353,1652,13,60,323,496,10
Regression,3113,2751,1650,13,52,287,858,10
Success,2131,2578,1607,13,50,291,569,10
Success,2161,2474,1595,13,50,341,480,10
Invalid,2247,2135,1754,13,59,315,461,10
Invalid,2348,2433,1706,13,50,317,532,10
Success,2181,1929,1596,13,52,291,504,10
Invalid,3007,3527,1671,13,52,287,1525,10
Invalid,2519,2583,1863,13,52,293,483,10
Success,2283,1973,1697,13,52,291,510,10
Success,2175,1937,1619,13,50,287,510,10
Success,2200,2195,1626,13,52,289,489,10
Success,2294,1974,1727,13,52,287,502,10
Invalid,3021,2676,1654,14,52,287,697,10
Invalid,1548,2186,1282,12,57,315,588,10
Error,2287,4001,1949,14,77,437,319,14
Success,2126,2122,1571,13,50,337,491,10
Success,2197,1923,1649,13,50,285,513,10
Success,2315,2237,1687,13,54,292,508,10
Success,2186,2277,1785,13,50,287,589,10
Regression,2593,2170,1821,13,59,315,474,10
Success,2426,2828,1749,13,50,323,470,10
Invalid,1618,2225,1351,12,57,315,529,10
Invalid,2865,1852,3174,12,49,281,385,10
Success,2148,2173,1730,13,59,319,502,10
Success,2250,1977,1633,13,52,289,519,10
Success,2145,2457,1681,13,50,331,493,10
Invalid,2486,2077,1836,13,59,319,503,10
Invalid,2359,2140,1898,13,50,287,522,10
Invalid,3032,4999,2025,13,59,361,2835,10
Regression,2584,2237,1670,13,52,291,350,10
Invalid,3265,3324,1730,13,52,287,1811,10
Success,2178,2027,1635,13,52,285,537,10
Success,2287,2266,1644,13,52,287,522,10
Regression,2593,1972,1822,13,59,323,500,10
Regression,4940,10084,1604,13,73,538,656,10
Invalid,1934,1634,1152,9,32,152,287,6
Regression,2770,2862,1749,13,52,297,1326,10
Regression,3744,4473,1649,13,52,285,2113,10
Success,2168,1991,1634,13,0,0,0,11
Invalid,2564,3502,1575,13,54,336,514,10
Regression,4765,8800,1701,13,73,540,654,10
Invalid,2326,2443,1681,13,50,335,478,10
Invalid,2285,1941,1726,13,52,285,515,10
Invalid,2467,2536,1727,13,52,289,501,10
Invalid,4725,5797,1866,14,52,287,3629,10
Regression,2546,2121,1800,13,59,326,520,10
Regression,3070,2406,2096,13,50,287,578,10
Invalid,2339,2043,1714,13,59,319,540,10
Success,2349,1984,1690,13,52,287,519,10
Regression,2510,2222,1597,14,52,289,314,10
Invalid,2232,1976,1809,13,50,289,508,10
Invalid,2441,2124,1735,13,59,319,477,10
Success,2275,2270,1741,13,59,319,540,10
Success,2354,1933,1788,13,50,291,523,10
Invalid,1703,3242,1142,7,30,224,305,7
Invalid,2112,2402,1588,13,50,293,574,10
Regression,3197,3640,1627,14,52,291,1503,10
Success,2165,2588,1593,13,50,291,579,10
Success,2330,2194,1723,13,55,323,497,10
Invalid,1844,1676,1048,9,32,156,302,6
Success,2180,1990,1667,13,50,289,515,10
Invalid,2255,2387,1774,13,59,319,482,10
Invalid,2269,2308,1622,13,54,290,500,10
Regression,2634,2188,1659,14,52,287,321,10
Success,2345,2471,1740,13,54,290,488,10
Invalid,3558,3940,1618,14,52,285,1972,10
Success,2223,2498,1628,13,50,292,488,10
Error,2180,4216,2130,14,77,439,333,14
Success,2156,2156,1758,13,50,285,538,10
Invalid,2717,2232,2092,13,59,319,534,10
Invalid,1511,2035,1344,12,57,317,404,10
Success,2152,2278,1636,13,50,331,478,10
Invalid,2280,2307,1796,13,60,327,350,10
Regression,3618,4047,1646,14,52,287,1943,10
Invalid,2370,2704,1613,13,50,287,584,10
Success,2201,2232,1832,13,50,297,523,10
Invalid,3288,2039,3419,13,52,285,519,10
Invalid,6163,10873,1908,13,73,538,616,10
Error,2239,4310,1858,14,77,490,325,14
Regression,2928,2541,1617,13,52,289,602,10
Invalid,3639,3944,1636,14,52,287,2014,10
Success,2291,1950,1755,13,50,285,502,10
Success,2199,2025,1644,13,50,287,507,10
Success,2158,2246,1719,13,50,285,592,10
Success,2114,2849,1511,13,50,327,493,10
Invalid,3800,4405,1719,13,52,287,2520,10
Success,2231,2074,1826,13,59,319,508,10
Invalid,2130,1983,1663,13,50,289,512,10
Invalid,2180,2267,1632,13,50,285,523,10
Invalid,2277,2462,1636,13,0,0,0,11
Success,2260,1976,1734,13,50,285,518,10
Success,2186,2240,1715,13,50,331,496,10
Success,2224,2567,1547,13,50,287,574,10
Regression,2797,2455,1999,12,54,284,328,9
Success,2294,2512,1732,13,50,291,626,10
Success,2266,2295,1865,13,59,317,472,10
Success,2264,2189,1857,13,50,285,509,10
Regression,2777,2218,1640,13,52,289,302,10
Invalid,2620,2100,1764,13,50,291,519,10
Success,2105,2192,1588,13,50,287,538,10
Invalid,2540,2259,1710,14,52,291,307,10
Regression,5522,9914,1658,13,73,538,581,10
Error,2119,1148,1220,10,31,156,306,6
Invalid,2258,2279,1819,13,50,287,559,10
Success,2369,2322,1955,13,50,285,557,10
Invalid,1802,1645,1032,9,32,154,298,6
Regression,3140,913,2679,8,15,115,115,6
Invalid,2360,2338,1721,13,52,285,482,10
Success,2067,2464,1618,13,50,373,542,10
Regression,2661,2151,1614,13,52,289,304,10
Invalid,2125,2538,1657,13,50,287,538,10
Success,2131,2383,1590,13,50,287,557,10
Regression,2620,2191,1314,10,33,211,303,6
Invalid,2480,2107,1962,13,59,323,527,10
