Status,PageTime_ms,TotalServerTime_ms,TotalBrowserTime_ms,Action_count,Api_count,Db_count,DbTime_ms,Xhr_count
Regression,2724,2351,1671,14,52,287,334,10
Success,2307,2513,1790,13,50,296,477,10
Success,2441,2494,1807,13,50,292,479,10
Success,2231,2466,1727,13,50,331,473,10
Invalid,2136,2454,1688,13,50,291,622,10
Regression,2529,1933,1855,13,59,319,484,10
Invalid,2725,2401,1695,13,59,319,461,10
Success,2450,2324,1809,13,54,286,498,10
Success,2259,1993,1644,13,52,285,504,10
Invalid,2199,2291,1663,13,50,285,561,10
Invalid,1898,1760,1034,9,32,154,289,6
Success,2225,1972,1694,13,50,285,512,10
Success,2118,2132,1584,13,59,319,486,10
Regression,2632,2073,1965,13,59,321,512,10
Success,2232,2191,1764,13,51,288,517,10
Invalid,2183,2309,1677,13,59,313,547,10
Regression,2615,2270,1620,14,52,287,314,10
Regression,2571,2083,1828,13,59,319,526,10
Success,2322,1958,1789,13,52,287,502,10
Regression,2668,2165,1667,14,52,287,323,10
Invalid,2254,2170,1675,13,52,291,499,10
Success,2296,2058,1720,13,52,289,492,10
Invalid,2137,2146,1569,13,52,285,519,10
Success,2456,2001,1815,13,59,323,471,10
Success,2116,2376,1765,13,59,317,528,10
Success,2257,2489,1739,13,50,329,489,10
Regression,3097,1904,3272,12,49,283,388,10
Success,2171,2161,1749,13,59,319,512,10
Success,2238,2159,1651,13,50,333,487,10
Invalid,2090,2081,1715,13,54,271,400,10
Invalid,3217,3823,1849,14,52,285,1336,10
Invalid,2216,2206,1727,13,50,333,480,10
Invalid,2164,2282,1642,13,50,287,560,10
Success,2159,2533,1648,13,59,321,510,10
Success,2245,2017,1726,13,50,287,524,10
Regression,2538,2365,2791,13,54,317,486,10
Success,2075,2574,1787,13,59,323,474,10
Invalid,2244,2192,1757,13,52,291,514,10
Invalid,4972,6502,1706,14,52,287,4577,10
Invalid,2205,2200,1767,13,50,289,553,10
Regression,2806,2208,1645,14,52,287,320,10
Success,2373,2157,1855,13,59,323,479,10
Success,2302,2369,1698,13,52,285,487,10
Success,2357,2438,1676,13,50,291,580,10
Success,2204,2025,1646,13,51,290,521,10
Regression,5329,8652,1763,13,73,534,570,10
Success,2155,1947,1857,13,0,0,0,11
Success,2174,2016,1700,13,50,287,515,10
Regression,2752,2337,1644,13,52,287,316,10
Invalid,2501,2081,1796,13,52,287,518,10
Invalid,2242,2405,1747,13,50,285,545,10
Invalid,2280,1989,1724,13,50,287,520,10
Regression,2879,2384,1695,13,52,291,318,10
Success,2232,2808,1576,13,67,349,508,10
Invalid,2144,2025,1650,13,52,295,513,10
Success,2367,2302,1772,13,50,327,485,10
Invalid,3351,3958,1614,14,52,285,1955,10
Success,2154,2179,1585,13,50,287,515,10
Success,2189,2222,1654,13,52,289,514,10
Regression,2718,2191,1581,13,52,291,317,10
Success,2337,2027,1694,13,52,287,483,10
Success,2265,2055,1854,13,50,287,530,10
Invalid,2178,2178,1781,13,51,289,514,10
Invalid,2108,2136,1591,13,50,289,525,10
Invalid,2300,2657,1780,13,67,327,644,10
